movie_id,Title,Genre,Year,Rating,Count,Poster
35423,Kate & Leopold (2001),Comedy|Fantasy|Romance,2001,6.166666666666667,24,"https://images-na.ssl-images-amazon.com/images/M/MV5BODU1MzU0OTUwOF5BMl5BanBnXkFtZTYwNjA5NTA5._V1_UY518_CR3,0,350,518_AL_.jpg"
118141,What Is It? (2005),Drama,2005,6.0,1,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzg1MDE1OTU3NF5BMl5BanBnXkFtZTcwNTk1ODQxNA@@._V1_UX350_CR0,0,350,518_AL_.jpg"
118589,Glitter (2001),Drama|Music|Romance,2001,5.666666666666667,3,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTEyMzY5MzYyMl5BMl5BanBnXkFtZTcwOTQ5MDEzMQ@@._V1_UY518_CR1,0,350,518_AL_.jpg"
118840,The Manson Family (2003),Crime|Drama|History,2003,2.5,2,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1NDIzMjY3M15BMl5BanBnXkFtZTcwODE2ODYyMQ@@._V1_UY518_CR5,0,350,518_AL_.jpg"
119004,Don's Plum (2001),Comedy|Drama,2001,7.5,2,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0OTM0ODcyNl5BMl5BanBnXkFtZTcwNTI3MTAzMQ@@._V1_UY518_CR19,0,350,518_AL_.jpg"
120667,Fantastic Four (2005),Action|Adventure|Sci-Fi,2005,6.0508474576271185,59,"https://images-na.ssl-images-amazon.com/images/M/MV5BNWU1ZjFjMTctYjA5ZC00YTBkLTkzZjUtZWEyMjgxY2MxYWM4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX350_CR0,0,350,518_AL_.jpg"
120679,Frida (2002),Biography|Drama|Romance,2002,8.01923076923077,52,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyODUyMDY1OV5BMl5BanBnXkFtZTYwMDA2OTU3._V1_UX350_CR0,0,350,518_AL_.jpg"
120681,From Hell (2001),Horror|Mystery|Thriller,2001,6.794117647058823,34,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1MjkxNTQxMV5BMl5BanBnXkFtZTYwMDMxNDg2._V1_UY518_CR0,0,350,518_AL_.jpg"
120737,The Lord of the Rings: The Fellowship of the Ring (2001),Adventure|Drama|Fantasy,2001,8.826086956521738,299,"https://images-na.ssl-images-amazon.com/images/M/MV5BNmFmZDdkODMtNzUyMy00NzhhLWFjZmEtMGMzYjNhMDA1NTBkXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_UY518_CR0,0,350,518_AL_.jpg"
120804,Resident Evil (2002),Action|Horror|Sci-Fi,2002,6.818181818181818,55,"https://images-na.ssl-images-amazon.com/images/M/MV5BN2Y2MTljNjMtMDRlNi00ZWNhLThmMWItYTlmZjYyZDk4NzYxXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UX350_CR0,0,350,518_AL_.jpg"
120824,The Shipping News (2001),Drama,2001,6.846153846153846,13,"https://images-na.ssl-images-amazon.com/images/M/MV5BNWEwMmNiNjctNDY5ZC00NDIyLWFiZDctNDdlZGU5NjA0MzA2L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX350_CR0,0,350,518_AL_.jpg"
120912,Men in Black II (2002),Action|Adventure|Comedy,2002,6.183673469387755,49,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxNDA0NTMxMV5BMl5BanBnXkFtZTYwMDE2NzY2._V1_UX350_CR0,0,350,518_AL_.jpg"
121164,Corpse Bride (2005),Animation|Family|Fantasy,2005,7.555555555555555,54,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1MTY1NjU4MF5BMl5BanBnXkFtZTcwNjIzMTEzMw@@._V1_UX350_CR0,0,350,518_AL_.jpg"
121765,Star Wars: Episode II - Attack of the Clones (2002),Action|Adventure|Fantasy,2002,6.660194174757281,206,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDRkYzA4OGYtOTBjYy00YzFiLThhYmYtMWUzMDBmMmZkM2M3XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UY518_CR10,0,350,518_AL_.jpg"
121766,Star Wars: Episode III - Revenge of the Sith (2005),Action|Adventure|Fantasy,2005,7.935622317596566,233,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTc4MTc3NTQ5OF5BMl5BanBnXkFtZTcwOTg0NjI4NA@@._V1_UY518_CR9,0,350,518_AL_.jpg"
125022,Heartbreakers (2001),Comedy|Crime|Romance,2001,6.714285714285714,7,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2NjE3NjQzOF5BMl5BanBnXkFtZTcwMDIwOTA0NA@@._V1_UX350_CR0,0,350,518_AL_.jpg"
126029,Shrek (2001),Animation|Adventure|Comedy,2001,8.636363636363637,55,"https://images-na.ssl-images-amazon.com/images/M/MV5BOGZhM2FhNTItODAzNi00YjA0LWEyN2UtNjJlYWQzYzU1MDg5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX350_CR0,0,350,518_AL_.jpg"
132245,Driven (2001),Action|Drama|Sport,2001,5.818181818181818,11,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA5MDk4NzI0NF5BMl5BanBnXkFtZTYwNjU0Nzc5._V1_UX350_CR0,0,350,518_AL_.jpg"
133152,Planet of the Apes (2001),Action|Adventure|Sci-Fi,2001,5.958333333333333,48,"https://images-na.ssl-images-amazon.com/images/M/MV5BY2RlMDhlY2MtMjQ1Zi00NzI5LTgxOTgtZjliNWMzYTY3NWZkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX350_CR0,0,350,518_AL_.jpg"
133240,Treasure Planet (2002),Animation|Adventure|Family,2002,7.384615384615385,26,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0NDg3MjU2OV5BMl5BanBnXkFtZTYwODgyMDg5._V1_UX350_CR0,0,350,518_AL_.jpg"
138524,Intolerable Cruelty (2003),Comedy|Crime|Romance,2003,5.818181818181818,22,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2OTc5Mjc0N15BMl5BanBnXkFtZTYwMDYyMjg3._V1_UX350_CR0,0,350,518_AL_.jpg"
